label,sample_id,timestamp_ms,ax,ay,az,gx,gy,gz
wave_right,130,1472281,0.5815,-0.179,0.7209,-144.9389,-28.7939,21.4427
wave_right,130,1472301,0.5955,-0.1956,0.7363,-149.7023,-28.916,30.3359
wave_right,130,1472321,0.614,-0.2732,0.6345,-151.5267,-24.4198,41.2443
wave_right,130,1472341,0.585,-0.4116,0.6494,-149.8931,-12.4656,36.0687
wave_right,131,1474513,0.584,0.4341,0.8289,2.8473,12.2061,-1.916
wave_right,131,1474533,0.5654,0.3823,0.8826,9.5725,16.6947,-6.4275
wave_right,131,1474553,0.551,0.4214,0.8928,16.6183,15.6412,-16.3969
wave_right,131,1474573,0.5098,0.5356,0.8462,15.5802,14.5649,-12.542
wave_right,131,1474593,0.5195,0.5503,0.873,11.2443,12.5573,2.0076
wave_right,131,1474613,0.5137,0.4441,0.8162,9.1145,14.0305,11.0687
wave_right,131,1474633,0.5498,0.4556,0.887,13.7405,13.3282,-14.0458
wave_right,131,1474653,0.5364,0.5308,0.8533,15.4809,14.626,-9.5573
wave_right,131,1474673,0.4719,0.5601,0.8335,14.5802,13.7099,-2.0382
wave_right,131,1474693,0.4746,0.5315,0.7927,14.0992,16.5878,0.1069
wave_right,131,1474713,0.5039,0.5273,0.8337,16.0076,15.8168,1.916
wave_right,131,1474733,0.4512,0.5806,0.8445,18.4275,11.3206,4.2519
wave_right,131,1474753,0.4565,0.5698,0.7966,20.8092,6.0076,3.8931
wave_right,131,1474773,0.4375,0.5923,0.7566,19.8244,4.8702,-1.5191
wave_right,131,1474793,0.4465,0.6086,0.7263,16.6183,8.4962,-7.626
wave_right,131,1474813,0.4128,0.6484,0.8242,17.2672,5.2672,-19.7557
wave_right,131,1474833,0.406,0.6973,0.8303,17.7863,-5.8397,-25.0687
wave_right,131,1474853,0.3613,0.7761,0.8108,15.1069,-17.0153,-30.2214
wave_right,131,1474873,0.3855,0.8101,0.7693,6.0305,-23.7328,-28.8092
wave_right,131,1474893,0.3767,0.894,0.7437,-3.8931,-18.6031,-35.1603
wave_right,131,1474913,0.3433,0.9866,0.7815,-10.313,-15.9695,-37.4962
wave_right,131,1474933,0.2507,0.9724,0.8396,-21.8397,-23.9542,-55.7863
wave_right,131,1474953,0.2153,1.0549,0.8198,-37.3053,-37.4962,-73.8397
wave_right,131,1474973,0.1829,1.0872,0.7793,-58.7023,-53.8321,-71.9542
wave_right,131,1474993,0.1816,1.0437,0.749,-77.1832,-64.1069,-61.771
wave_right,131,1475013,0.1943,0.865,0.7268,-86.1145,-74.5954,-70.5573
wave_right,131,1475033,0.1787,0.8264,0.6995,-90.2519,-84.1527,-88.5573
wave_right,131,1475053,0.1736,0.9102,0.6804,-93.1832,-101.6794,-85.0916
wave_right,131,1475073,0.2329,1.0295,0.5984,-105.4046,-119.0153,-57.0229
wave_right,131,1475093,0.4263,0.8005,0.5037,-113.9847,-123.0305,-33.9847
wave_right,131,1475113,0.4956,0.6743,0.5339,-119.2519,-124.3206,-52.1221
wave_right,131,1475133,0.5618,0.6548,0.4851,-119.8168,-123.145,-79.8015
wave_right,131,1475153,0.5615,0.8059,0.467,-124.7634,-125.9924,-74.2519
wave_right,131,1475173,0.6008,0.7874,0.4263,-133.4198,-129.7176,-32.1908
wave_right,131,1475193,0.6931,0.5571,0.385,-138.855,-119.9542,-27.8244
wave_right,131,1475213,0.6963,0.5564,0.4351,-143.3359,-113.0,-39.5878
wave_right,131,1475233,0.6616,0.636,0.4534,-147.2901,-120.7405,-23.6412
wave_right,131,1475253,0.7568,0.4744,0.3782,-152.5343,-117.9313,-1.6947
wave_right,131,1475273,0.7893,0.3113,0.3811,-153.8015,-102.084,-10.5573
wave_right,131,1475293,0.7771,0.2927,0.4167,-151.6488,-95.0382,-20.1298
wave_right,131,1475313,0.8137,0.3025,0.4133,-151.6031,-97.0229,-12.9008
wave_right,131,1475333,0.8853,0.3367,0.3608,-160.2061,-88.145,-1.1679
wave_right,131,1475353,0.9109,0.3315,0.3936,-177.6031,-74.8931,24.3359
wave_right,131,1475373,0.9329,0.0674,0.4175,-188.3893,-67.3282,51.1985
wave_right,131,1475393,0.8879,-0.0603,0.4119,-173.5954,-55.5344,48.9008
wave_right,131,1475413,0.8813,-0.0891,0.4587,-162.2824,-50.7863,58.8626
wave_right,131,1475433,0.9167,-0.4736,0.4453,-140.3969,-38.229,30.1908
wave_right,131,1475453,0.8594,-0.3354,0.5647,-123.0229,-39.2061,5.7634
